ประทับเวลา,หน่วยงาน,ผู้ตอบแบบประเมิน,อายุผู้ประเมิน (ปี),อัธยาศัยในการต้อนรับ,ความสุภาพและความอ่อนโยน,มีมนุษสัมพันธ์,ความกระตือรือร้น,การคาบคุมอารมณ์,การให้ความเสมอภาค,การให้เกียรติ,ตอบคำถามด้วยความเต็มใจ,ให้คำแนะนำที่เป็นประโยชน์,รับฟังและช่วยคลี่คลายปัญหาและให้คำปรึกษา,รักษาสิทธิของผู้ให้บริการ,รักษาความลับของผู้ให้บริการ,อธิบายให้เข้าใจทั้งก่อนและหลังการให้บริการ,ปลอบโยนให้กำลังใจ,ความรวดเร็วและประสิทธิภาพในการบริการ,ความนิ่มนวล,มีน้ำใจ (สนใจ เต็มใจ เอาใจใส่),ช่วยเหลือบรรเทาความเจ็บปวดหรือความไม่สุขสบาย,ความสะอาดเรียบร้อยในการแต่งกาย,พฤติกรรมทั่วไปน่าเชื่อถือและศรัทธา,ข้อเสนอแนะเพิ่มเติม,gen X
"18/6/2026, 14:07:51",อายุรกรรม 4,ญาติ,27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,พยาบาลเอาใจใส่ดีมากค่ะ,
"18/6/2026, 14:10:34",อายุรกรรม 6,ญาติ,50,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,,
"18/6/2026, 14:11:27",อายุรกรรม 4,ญาติ,48,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
"18/6/2026, 14:12:36",อายุรกรรม 4,ญาติ,50,3,2,2,3,4,4,4,3,3,4,3,4,3,3,3,2,3,3,3,4,,
"18/6/2026, 14:21:50",น้อมเกล้า 2,ญาติ,27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,บริการดีมากทุกคน,
"18/6/2026, 14:23:18",อายุรกรรม 4,ญาติ,23,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
"18/6/2026, 14:28:32",น้อมเกล้า 2,ผู้ป่วย,40,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,,
"18/6/2026, 14:30:30",งานเวชศาสตร์ใต้น้ำ,ญาติ,40,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
"18/6/2026, 14:33:19",อายุรกรรม 7,ญาติ,30,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
"18/6/2026, 14:33:49",นรีเวชกรรม,ผู้ป่วย,42,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
"18/6/2026, 14:35:10",นรีเวชกรรม,ผู้ป่วย,49,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
"18/6/2026, 14:35:54",นรีเวชกรรม,ผู้ป่วย,31,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
"18/6/2026, 14:35:55",อายุรกรรม 4,ญาติ,24,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
"18/6/2026, 14:36:32",นรีเวชกรรม,ผู้ป่วย,32,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
"18/6/2026, 14:37:18",นรีเวชกรรม,ผู้ป่วย,62,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,อากาศร้อนมากค่ะ อยากให้ติดแอร์,
"18/6/2026, 14:38:38",นรีเวชกรรม,ผู้ป่วย,46,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
"18/6/2026, 14:39:00",อายุรกรรม 4,ญาติ,56,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
"18/6/2026, 14:40:59",นรีเวชกรรม,ผู้ป่วย,39,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,ขอบคุณที่ให้หนูได้ไปแชมเบอร์ค่ะ,
"18/6/2026, 14:42:37",นรีเวชกรรม,ผู้ป่วย,33,5,4,5,5,4,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,คนไข้เยอะ แล้วห้องน้ำมีกลิ่นค่ะ แต่ก็ดูสะอาด,
"18/6/2026, 14:47:45",นรีเวชกรรม,ผู้ป่วย,53,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
"18/6/2026, 14:49:24",นรีเวชกรรม,ผู้ป่วย,35,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5,4,5,4,5,,
"18/6/2026, 14:49:58",เคมีบำบัด,ญาติ,50,2,2,2,2,3,2,3,3,3,2,3,2,4,2,2,2,2,3,3,3,,
"18/6/2026, 14:50:15",นรีเวชกรรม,ผู้ป่วย,72,3,4,3,4,3,4,4,4,4,5,5,3,4,4,5,4,5,5,5,5,,
"18/6/2026, 14:50:19",นรีเวชกรรม,ญาติ,33,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
"18/6/2026, 14:50:54",นรีเวชกรรม,ผู้ป่วย,22,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
"18/6/2026, 14:50:54",นรีเวชกรรม,ผู้ป่วย,22,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
"18/6/2026, 14:58:20",รส. 200 ปี ล่าง,ญาติ,33,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
"18/6/2026, 14:59:25",OPD,ญาติ,29,4,4,4,4,5,5,5,4,4,4,4,4,4,5,4,4,5,4,5,5,,
"18/6/2026, 14:59:46",รส. 200 ปี ล่าง,ญาติ,53,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
"18/6/2026, 15:00:43",นรีเวชกรรม,ญาติ,36,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
"18/6/2026, 15:02:00",OPD,ญาติ,32,4,4,4,4,3,3,4,3,4,3,4,5,3,4,4,3,3,4,4,3,,
"18/6/2026, 15:02:01",OPD,ญาติ,32,4,4,4,4,3,3,4,3,4,3,4,5,3,4,4,3,3,4,4,3,,
"18/6/2026, 15:11:39",น้อมเกล้า 2,ญาติ,34,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,5,5,,
"18/6/2026, 15:12:59",น้อมเกล้า 2,ผู้ป่วย,54,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,ดูแลดีมากครับเอาใจใส่ดี อธิบายชัดเจนดีครับ,
"18/6/2026, 15:14:52",น้อมเกล้า 2,ผู้ป่วย,48,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,พนักงานอัธยาศัยดี น่ารัก บริการดี ใส่ใจผู้ป่วย,
"18/6/2026, 15:27:25",น้อมเกล้า 2,ผู้ป่วย,35,5,5,5,5,5,5,5,5,5,5,5,,5,5,,,5,5,5,5,น้อมเกล้า2พยาบาลมีการดูแลและเอาใจใส่มากขอชมเชย,
"18/6/2026, 15:30:23",น้อมเกล้า 2,ญาติ,49,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,ห้อง212,
"18/6/2026, 15:38:11",รส. 200 ปี ล่าง,ผู้ป่วย,59,4,4,4,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,,
"18/6/2026, 15:41:07",รส. 200 ปี ล่าง,ญาติ,,5,5,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,,
"18/6/2026, 15:54:06",ห้องคลอด,ผู้ป่วย,,4,4,5,5,4,4,5,5,5,5,5,5,5,4,4,4,4,4,5,5,,